Client-id: 11, bytes read = 2097408, filename = data/file11, no of times send used = 2097408, time taken = 1 sec, -406523 usec
Client-id: 12, bytes read = 2097408, filename = data/file12, no of times send used = 2097408, time taken = 1 sec, -334029 usec
Client-id: 1, bytes read = 2097408, filename = data/file1, no of times send used = 2097408, time taken = 1 sec, -238191 usec
Client-id: 30, bytes read = 2097408, filename = data/file33, no of times send used = 2097408, time taken = 1 sec, -307162 usec
Client-id: 19, bytes read = 2097408, filename = data/file25, no of times send used = 2097408, time taken = 1 sec, -271390 usec
Client-id: 21, bytes read = 2097408, filename = data/file27, no of times send used = 2097408, time taken = 1 sec, -204889 usec
Client-id: 25, bytes read = 2097408, filename = data/file32, no of times send used = 2097408, time taken = 1 sec, -254890 usec
Client-id: 4, bytes read = 2097408, filename = data/file4, no of times send used = 2097408, time taken = 1 sec, -112644 usec
Client-id: 48, bytes read = 2097408, filename = data/file19, no of times send used = 2097408, time taken = 0 sec, 693781 usec
Client-id: 9, bytes read = 2097408, filename = data/file9, no of times send used = 2097408, time taken = 1 sec, -122652 usec
Client-id: 7, bytes read = 2097408, filename = data/file7, no of times send used = 2097408, time taken = 1 sec, -348815 usec
Client-id: 3, bytes read = 2097408, filename = data/file3, no of times send used = 2097408, time taken = 1 sec, -165743 usec
Client-id: 17, bytes read = 2097408, filename = data/file23, no of times send used = 2097408, time taken = 1 sec, -156451 usec
Client-id: 29, bytes read = 2097408, filename = data/file31, no of times send used = 2097408, time taken = 1 sec, -139406 usec
Client-id: 36, bytes read = 2097408, filename = data/file41, no of times send used = 2097408, time taken = 1 sec, -162428 usec
Client-id: 18, bytes read = 2097408, filename = data/file24, no of times send used = 2097408, time taken = 1 sec, -127050 usec
Client-id: 31, bytes read = 2097408, filename = data/file36, no of times send used = 2097408, time taken = 1 sec, -107592 usec
Client-id: 2, bytes read = 2097408, filename = data/file2, no of times send used = 2097408, time taken = 1 sec, -142663 usec
Client-id: 47, bytes read = 2097408, filename = data/file18, no of times send used = 2097408, time taken = 0 sec, 574594 usec
Client-id: 22, bytes read = 2097408, filename = data/file28, no of times send used = 2097408, time taken = 1 sec, -33794 usec
Client-id: 10, bytes read = 2097408, filename = data/file10, no of times send used = 2097408, time taken = 1 sec, 9501 usec
Client-id: 34, bytes read = 2097408, filename = data/file34, no of times send used = 2097408, time taken = 1 sec, -116195 usec
Client-id: 8, bytes read = 2097408, filename = data/file8, no of times send used = 2097408, time taken = 1 sec, 5193 usec
Client-id: 32, bytes read = 2097408, filename = data/file39, no of times send used = 2097408, time taken = 1 sec, -87364 usec
Client-id: 37, bytes read = 2097408, filename = data/file43, no of times send used = 2097408, time taken = 1 sec, -107721 usec
Client-id: 33, bytes read = 2097408, filename = data/file40, no of times send used = 2097408, time taken = 1 sec, -54944 usec
Client-id: 23, bytes read = 2097408, filename = data/file29, no of times send used = 2097408, time taken = 1 sec, 7761 usec
Client-id: 28, bytes read = 2097408, filename = data/file37, no of times send used = 2097408, time taken = 1 sec, -10140 usec
Client-id: 13, bytes read = 2097408, filename = data/file14, no of times send used = 2097408, time taken = 1 sec, 24708 usec
Client-id: 5, bytes read = 2097408, filename = data/file6, no of times send used = 2097408, time taken = 1 sec, 100614 usec
Client-id: 6, bytes read = 2097408, filename = data/file5, no of times send used = 2097408, time taken = 1 sec, 90693 usec
Client-id: 46, bytes read = 2097408, filename = data/file17, no of times send used = 2097408, time taken = 0 sec, 934095 usec
Client-id: 35, bytes read = 2097408, filename = data/file42, no of times send used = 2097408, time taken = 1 sec, 2654 usec
Client-id: 44, bytes read = 2097408, filename = data/file16, no of times send used = 2097408, time taken = 0 sec, 932746 usec
Client-id: 50, bytes read = 2097408, filename = data/file20, no of times send used = 2097408, time taken = 0 sec, 799032 usec
Client-id: 45, bytes read = 2097408, filename = data/file49, no of times send used = 2097408, time taken = 0 sec, 963098 usec
Client-id: 49, bytes read = 2097408, filename = data/file50, no of times send used = 2097408, time taken = 0 sec, 975454 usec
Client-id: 20, bytes read = 2097408, filename = data/file26, no of times send used = 2097408, time taken = 1 sec, 50924 usec
Client-id: 42, bytes read = 2097408, filename = data/file48, no of times send used = 2097408, time taken = 1 sec, -19248 usec
Client-id: 27, bytes read = 2097408, filename = data/file38, no of times send used = 2097408, time taken = 2 sec, -895169 usec
Client-id: 16, bytes read = 2097408, filename = data/file22, no of times send used = 2097408, time taken = 2 sec, -903091 usec
Client-id: 14, bytes read = 2097408, filename = data/file13, no of times send used = 2097408, time taken = 1 sec, 77097 usec
Client-id: 15, bytes read = 2097408, filename = data/file21, no of times send used = 2097408, time taken = 2 sec, -885136 usec
Client-id: 43, bytes read = 2097408, filename = data/file15, no of times send used = 2097408, time taken = 1 sec, 6513 usec
Client-id: 26, bytes read = 2097408, filename = data/file35, no of times send used = 2097408, time taken = 2 sec, -921209 usec
Client-id: 40, bytes read = 2097408, filename = data/file46, no of times send used = 2097408, time taken = 1 sec, 12727 usec
Client-id: 24, bytes read = 2097408, filename = data/file30, no of times send used = 2097408, time taken = 2 sec, -851317 usec
Client-id: 39, bytes read = 2097408, filename = data/file45, no of times send used = 2097408, time taken = 1 sec, 34758 usec
Client-id: 41, bytes read = 2097408, filename = data/file47, no of times send used = 2097408, time taken = 1 sec, 27470 usec
Client-id: 38, bytes read = 2097408, filename = data/file44, no of times send used = 2097408, time taken = 2 sec, -923865 usec
